"germinate" "bed" "treatment" "spatial_coordinates" "day" "length"
"75" 15 "paper4" "water" "lower_left" "day5" 31
"76" 15 "paper4" "water" "lower_left" "day6" 61
"77" 15 "paper4" "water" "lower_left" "day7" 80
"78" 15 "paper4" "water" "lower_left" "day8" 95
"79" 17 "mould1" "water" "lower_left" "day3" 7
"80" 17 "mould1" "water" "lower_left" "day4" 27
"81" 17 "mould1" "water" "lower_left" "day5" 56
"82" 17 "mould1" "water" "lower_left" "day6" 79
"83" 17 "mould1" "water" "lower_left" "day7" 95
"84" 17 "mould1" "water" "lower_left" "day8" 99
"85" 18 "paper8" "water" "lower_left" "day3" 3
"86" 18 "paper8" "water" "lower_left" "day4" 16
"87" 18 "paper8" "water" "lower_left" "day5" 50
"88" 18 "paper8" "water" "lower_left" "day6" 77
"89" 18 "paper8" "water" "lower_left" "day7" 87
"90" 18 "paper8" "water" "lower_left" "day8" 102
"91" 16 "mould2" "water" "lower_left" "day3" 5
"92" 16 "mould2" "water" "lower_left" "day4" 23
"93" 16 "mould2" "water" "lower_left" "day5" 59
"94" 16 "mould2" "water" "lower_left" "day6" 86
"95" 16 "mould2" "water" "lower_left" "day7" 86
"96" 16 "mould2" "water" "lower_left" "day8" 99
"97" 13 "paper4" "enriched" "upper_middle" "day3" 2
"98" 13 "paper4" "enriched" "upper_middle" "day4" 4
"99" 13 "paper4" "enriched" "upper_middle" "day5" 45
"100" 13 "paper4" "enriched" "upper_middle" "day6" 50
"101" 13 "paper4" "enriched" "upper_middle" "day7" 60
"102" 13 "paper4" "enriched" "upper_middle" "day8" 86
"103" 11 "mould1" "enriched" "upper_middle" "day3" 0
"104" 11 "mould1" "enriched" "upper_middle" "day4" 19
"105" 11 "mould1" "enriched" "upper_middle" "day5" 53
"106" 11 "mould1" "enriched" "upper_middle" "day6" 85
"107" 11 "mould1" "enriched" "upper_middle" "day7" 111
"108" 11 "mould1" "enriched" "upper_middle" "day8" 122
"109" 16 "paper8" "enriched" "upper_middle" "day3" 0
"110" 16 "paper8" "enriched" "upper_middle" "day4" 11
"111" 16 "paper8" "enriched" "upper_middle" "day5" 40
"112" 16 "paper8" "enriched" "upper_middle" "day6" 81
"113" 16 "paper8" "enriched" "upper_middle" "day7" 107
"114" 16 "paper8" "enriched" "upper_middle" "day8" 125
"115" 18 "mould2" "enriched" "upper_middle" "day3" 5
"116" 18 "mould2" "enriched" "upper_middle" "day4" 31
"117" 18 "mould2" "enriched" "upper_middle" "day5" 72
"118" 18 "mould2" "enriched" "upper_middle" "day6" 101
"119" 18 "mould2" "enriched" "upper_middle" "day7" 114
"120" 18 "mould2" "enriched" "upper_middle" "day8" 120
"121" 11 "paper4" "enriched" "lower_middle" "day3" 8
"122" 11 "paper4" "enriched" "lower_middle" "day4" 20
"123" 11 "paper4" "enriched" "lower_middle" "day5" 46
"124" 11 "paper4" "enriched" "lower_middle" "day6" 79
"125" 11 "paper4" "enriched" "lower_middle" "day7" 92
"126" 11 "paper4" "enriched" "lower_middle" "day8" 109
"127" 15 "mould1" "enriched" "lower_middle" "day3" 7
"128" 15 "mould1" "enriched" "lower_middle" "day4" 30
"129" 15 "mould1" "enriched" "lower_middle" "day5" 67
"130" 15 "mould1" "enriched" "lower_middle" "day6" 87
"131" 15 "mould1" "enriched" "lower_middle" "day7" 110
"132" 15 "mould1" "enriched" "lower_middle" "day8" 122
"133" 20 "paper8" "enriched" "lower_middle" "day3" 1
"134" 20 "paper8" "enriched" "lower_middle" "day4" 14
"135" 20 "paper8" "enriched" "lower_middle" "day5" 37
"136" 20 "paper8" "enriched" "lower_middle" "day6" 71
"137" 20 "paper8" "enriched" "lower_middle" "day7" 99
"138" 20 "paper8" "enriched" "lower_middle" "day8" 107
"139" 20 "mould2" "enriched" "lower_middle" "day3" 9
"140" 20 "mould2" "enriched" "lower_middle" "day4" 29
"141" 20 "mould2" "enriched" "lower_middle" "day5" 65
"142" 20 "mould2" "enriched" "lower_middle" "day6" 92
"143" 20 "mould2" "enriched" "lower_middle" "day7" 108
"144" 20 "mould2" "enriched" "lower_middle" "day8" 119
"145" 18 "paper4" "water" "upper_middle" "day3" 3
"146" 18 "paper4" "water" "upper_middle" "day4" 18
"147" 18 "paper4" "water" "upper_middle" "day5" 25
"148" 18 "paper4" "water" "upper_middle" "day6" 69
"149" 18 "paper4" "water" "upper_middle" "day7" 60
"150" 18 "paper4" "water" "upper_middle" "day8" 93
"151" 15 "mould1" "water" "upper_middle" "day3" 3
"152" 15 "mould1" "water" "upper_middle" "day4" 21
"153" 15 "mould1" "water" "upper_middle" "day5" 43
"154" 15 "mould1" "water" "upper_middle" "day6" 72
"155" 15 "mould1" "water" "upper_middle" "day7" 87
"156" 15 "mould1" "water" "upper_middle" "day8" 110
"157" 17 "paper8" "water" "upper_middle" "day3" 4
"158" 17 "paper8" "water" "upper_middle" "day4" 14
"159" 17 "paper8" "water" "upper_middle" "day5" 41
"160" 17 "paper8" "water" "upper_middle" "day6" 68
"161" 17 "paper8" "water" "upper_middle" "day7" 82
"162" 17 "paper8" "water" "upper_middle" "day8" 93
"163" 16 "mould2" "water" "upper_middle" "day3" 11
"164" 16 "mould2" "water" "upper_middle" "day4" 32
"165" 16 "mould2" "water" "upper_middle" "day5" 70
"166" 16 "mould2" "water" "upper_middle" "day6" 92
"167" 16 "mould2" "water" "upper_middle" "day7" 103
"168" 16 "mould2" "water" "upper_middle" "day8" 108
"169" 17 "paper4" "water" "lower_middle" "day3" 0
"170" 17 "paper4" "water" "lower_middle" "day4" 13
"171" 17 "paper4" "water" "lower_middle" "day5" 38
"172" 17 "paper4" "water" "lower_middle" "day6" 67
"173" 17 "paper4" "water" "lower_middle" "day7" 89
"174" 17 "paper4" "water" "lower_middle" "day8" 95
"175" 19 "mould1" "water" "lower_middle" "day3" 7
"176" 19 "mould1" "water" "lower_middle" "day4" 27
"177" 19 "mould1" "water" "lower_middle" "day5" 56
"178" 19 "mould1" "water" "lower_middle" "day6" 77
"179" 19 "mould1" "water" "lower_middle" "day7" 91
"180" 19 "mould1" "water" "lower_middle" "day8" 102
"181" 20 "paper8" "water" "lower_middle" "day3" 0
"182" 20 "paper8" "water" "lower_middle" "day4" 10
"183" 20 "paper8" "water" "lower_middle" "day5" 34
"184" 20 "paper8" "water" "lower_middle" "day6" 67
"185" 20 "paper8" "water" "lower_middle" "day7" 85
"186" 20 "paper8" "water" "lower_middle" "day8" 88
"187" 19 "mould2" "water" "lower_middle" "day3" 6
"188" 19 "mould2" "water" "lower_middle" "day4" 28
"189" 19 "mould2" "water" "lower_middle" "day5" 56
"190" 19 "mould2" "water" "lower_middle" "day6" 83
"191" 19 "mould2" "water" "lower_middle" "day7" 99
"192" 19 "mould2" "water" "lower_middle" "day8" 108
"193" 6 "paper4" "enriched" "upper_right" "day3" 1
"194" 6 "paper4" "enriched" "upper_right" "day4" 9
"195" 6 "paper4" "enriched" "upper_right" "day5" 48
"196" 6 "paper4" "enriched" "upper_right" "day6" 70
"197" 6 "paper4" "enriched" "upper_right" "day7" 73
"198" 6 "paper4" "enriched" "upper_right" "day8" 87
"199" 14 "mould1" "enriched" "upper_right" "day3" 2
"200" 14 "mould1" "enriched" "upper_right" "day4" 21
"201" 14 "mould1" "enriched" "upper_right" "day5" 62
"202" 14 "mould1" "enriched" "upper_right" "day6" 81
"203" 14 "mould1" "enriched" "upper_right" "day7" 90
"204" 14 "mould1" "enriched" "upper_right" "day8" 115
"205" 15 "paper8" "enriched" "upper_right" "day3" 2
"206" 15 "paper8" "enriched" "upper_right" "day4" 17
"207" 15 "paper8" "enriched" "upper_right" "day5" 30
"208" 15 "paper8" "enriched" "upper_right" "day6" 71
"209" 15 "paper8" "enriched" "upper_right" "day7" 93
"210" 15 "paper8" "enriched" "upper_right" "day8" 126
"211" 20 "mould2" "enriched" "upper_right" "day3" 7
"212" 20 "mould2" "enriched" "upper_right" "day4" 25
"213" 20 "mould2" "enriched" "upper_right" "day5" 64
"214" 20 "mould2" "enriched" "upper_right" "day6" 82
"215" 20 "mould2" "enriched" "upper_right" "day7" 102
"216" 20 "mould2" "enriched" "upper_right" "day8" 106
"217" 13 "paper4" "enriched" "lower_right" "day3" 0
"218" 13 "paper4" "enriched" "lower_right" "day4" 4
"219" 13 "paper4" "enriched" "lower_right" "day5" 17
"220" 13 "paper4" "enriched" "lower_right" "day6" 41
"221" 13 "paper4" "enriched" "lower_right" "day7" 66
"222" 13 "paper4" "enriched" "lower_right" "day8" 81
"223" 12 "mould1" "enriched" "lower_right" "day3" 4
"224" 12 "mould1" "enriched" "lower_right" "day4" 22
"225" 12 "mould1" "enriched" "lower_right" "day5" 59
"226" 12 "mould1" "enriched" "lower_right" "day6" 91
"227" 12 "mould1" "enriched" "lower_right" "day7" 99
"228" 12 "mould1" "enriched" "lower_right" "day8" 143
"229" 16 "paper8" "enriched" "lower_right" "day3" 4
"230" 16 "paper8" "enriched" "lower_right" "day4" 14
"231" 16 "paper8" "enriched" "lower_right" "day5" 38
"232" 16 "paper8" "enriched" "lower_right" "day6" 65
"233" 16 "paper8" "enriched" "lower_right" "day7" 100
"234" 16 "paper8" "enriched" "lower_right" "day8" 111
"235" 17 "mould2" "enriched" "lower_right" "day3" 3
"236" 17 "mould2" "enriched" "lower_right" "day4" 23
"237" 17 "mould2" "enriched" "lower_right" "day5" 68
"238" 17 "mould2" "enriched" "lower_right" "day6" 93
"239" 17 "mould2" "enriched" "lower_right" "day7" 126
"240" 17 "mould2" "enriched" "lower_right" "day8" 144
"241" 18 "paper4" "water" "upper_right" "day3" 2
"242" 18 "paper4" "water" "upper_right" "day4" 11
"243" 18 "paper4" "water" "upper_right" "day5" 47
"244" 18 "paper4" "water" "upper_right" "day6" 59
"245" 18 "paper4" "water" "upper_right" "day7" 81
"246" 18 "paper4" "water" "upper_right" "day8" 102
"247" 16 "mould1" "water" "upper_right" "day3" 4
"248" 16 "mould1" "water" "upper_right" "day4" 21
"249" 16 "mould1" "water" "upper_right" "day5" 63
"250" 16 "mould1" "water" "upper_right" "day6" 75
"251" 16 "mould1" "water" "upper_right" "day7" 87
"252" 16 "mould1" "water" "upper_right" "day8" 97
"253" 19 "paper8" "water" "upper_right" "day3" 1
"254" 19 "paper8" "water" "upper_right" "day4" 13
"255" 19 "paper8" "water" "upper_right" "day5" 60
"256" 19 "paper8" "water" "upper_right" "day6" 58
"257" 19 "paper8" "water" "upper_right" "day7" 76
"258" 19 "paper8" "water" "upper_right" "day8" 86
"259" 17 "mould2" "water" "upper_right" "day3" 10
"260" 17 "mould2" "water" "upper_right" "day4" 22
"261" 17 "mould2" "water" "upper_right" "day5" 54
"262" 17 "mould2" "water" "upper_right" "day6" 80
"263" 17 "mould2" "water" "upper_right" "day7" 96
"264" 17 "mould2" "water" "upper_right" "day8" 109
"265" 18 "paper4" "water" "lower_right" "day3" 2
"266" 18 "paper4" "water" "lower_right" "day4" 15
"267" 18 "paper4" "water" "lower_right" "day5" 33
"268" 18 "paper4" "water" "lower_right" "day6" 64
"269" 18 "paper4" "water" "lower_right" "day7" 75
"270" 18 "paper4" "water" "lower_right" "day8" 83
"271" 18 "mould1" "water" "lower_right" "day3" 2
"272" 18 "mould1" "water" "lower_right" "day4" 19
"273" 18 "mould1" "water" "lower_right" "day5" 52
"274" 18 "mould1" "water" "lower_right" "day6" 82
"275" 18 "mould1" "water" "lower_right" "day7" 98
"276" 18 "mould1" "water" "lower_right" "day8" 113
"277" 19 "paper8" "water" "lower_right" "day3" 4
"278" 19 "paper8" "water" "lower_right" "day4" 16
"279" 19 "paper8" "water" "lower_right" "day5" 39
"280" 19 "paper8" "water" "lower_right" "day6" 82
"281" 19 "paper8" "water" "lower_right" "day7" 111
"282" 19 "paper8" "water" "lower_right" "day8" 125
"283" 14 "mould2" "water" "lower_right" "day3" 4
"284" 14 "mould2" "water" "lower_right" "day4" 26
"285" 14 "mould2" "water" "lower_right" "day5" 57
"286" 14 "mould2" "water" "lower_right" "day6" 72
"287" 14 "mould2" "water" "lower_right" "day7" 85
"288" 14 "mould2" "water" "lower_right" "day8" 93
